Date,Day,Time,Occupancy
16.06.2025,Monday,08:33,0
16.06.2025,Monday,09:00,0
16.06.2025,Monday,09:30,3
16.06.2025,Monday,09:48,5
16.06.2025,Monday,09:59,5
16.06.2025,Monday,10:37,8
16.06.2025,Monday,10:56,4
16.06.2025,Monday,11:29,4
16.06.2025,Monday,11:46,3
16.06.2025,Monday,11:57,3
16.06.2025,Monday,12:30,5
16.06.2025,Monday,12:52,3
16.06.2025,Monday,13:18,3
16.06.2025,Monday,13:33,3
16.06.2025,Monday,13:46,3
16.06.2025,Monday,13:57,3
16.06.2025,Monday,14:55,4
16.06.2025,Monday,15:35,4
16.06.2025,Monday,15:54,3
16.06.2025,Monday,16:22,3
16.06.2025,Monday,16:45,3
16.06.2025,Monday,16:56,6
16.06.2025,Monday,17:26,6
16.06.2025,Monday,17:45,6
16.06.2025,Monday,17:57,5
16.06.2025,Monday,18:33,9
16.06.2025,Monday,18:55,8
16.06.2025,Monday,19:18,11
16.06.2025,Monday,19:38,9
16.06.2025,Monday,20:12,4
16.06.2025,Monday,20:45,2
16.06.2025,Monday,20:59,1
16.06.2025,Monday,21:21,0
16.06.2025,Monday,21:38,0
16.06.2025,Monday,21:49,0
16.06.2025,Monday,22:00,0
17.06.2025,Tuesday,06:29,0
17.06.2025,Tuesday,06:51,0
17.06.2025,Tuesday,07:20,6
17.06.2025,Tuesday,07:44,18
17.06.2025,Tuesday,07:56,18
17.06.2025,Tuesday,08:34,20
17.06.2025,Tuesday,08:55,15
17.06.2025,Tuesday,09:22,13
17.06.2025,Tuesday,09:42,17
17.06.2025,Tuesday,09:55,18
17.06.2025,Tuesday,10:31,21
17.06.2025,Tuesday,10:55,23
17.06.2025,Tuesday,11:25,27
17.06.2025,Tuesday,11:44,27
17.06.2025,Tuesday,11:56,25
17.06.2025,Tuesday,12:26,23
17.06.2025,Tuesday,12:47,23
