Day,Time,Occupancy
Sunday,08:44,66
Sunday,08:50,66
Sunday,10:09,73
Sunday,10:25,67
Sunday,10:33,67
Sunday,10:41,61
Sunday,10:51,48
Sunday,11:09,47
Sunday,11:29,52
Sunday,11:39,50
Sunday,11:46,54
Sunday,11:53,54
Sunday,12:08,51
Sunday,12:22,56
Sunday,12:32,62
Sunday,12:41,56
Sunday,12:51,57
Sunday,13:16,55
Sunday,13:50,59
Sunday,14:15,65
Sunday,14:30,61
Sunday,14:41,64
Sunday,14:52,57
Sunday,15:08,45
Sunday,15:25,42
Sunday,15:34,42
Sunday,15:41,46
Sunday,15:51,49
Sunday,16:08,50
Sunday,16:26,50
Sunday,16:34,55
Sunday,16:41,59
Sunday,16:51,39
Sunday,17:10,64
Sunday,17:34,60
Sunday,17:45,68
Sunday,17:51,67
Sunday,18:08,82
Sunday,18:24,75
Sunday,18:34,63
Sunday,18:41,63
Sunday,18:51,52
Sunday,19:12,57
Sunday,19:35,53
Sunday,19:46,52
Sunday,19:52,51
Sunday,20:08,51
Sunday,20:21,41
Sunday,20:32,33
Sunday,20:41,26
Sunday,20:51,20
Sunday,21:10,0
Sunday,21:27,0
Sunday,21:37,0
Sunday,21:44,0
Sunday,21:51,0
Sunday,22:08,0
Sunday,22:23,0
Sunday,22:32,0
Sunday,22:41,0
Sunday,22:51,0
Sunday,23:09,0
Sunday,23:29,0
Sunday,23:40,0
Sunday,23:51,0
Monday,05:13,0
Monday,05:35,0
Monday,05:46,0
Monday,05:53,0
Monday,06:10,3
Monday,06:32,15
Monday,06:43,15
Monday,06:51,15
Monday,07:15,22
Monday,07:41,28
Monday,07:53,27
Monday,08:10,22
Monday,08:29,22
Monday,08:38,19
Monday,08:45,19
Monday,08:51,19
Monday,09:14,22
Monday,09:38,17
Monday,09:50,17
Monday,10:11,16
Monday,10:32,14
Monday,10:43,16
Monday,10:51,16
Monday,11:11,25
Monday,11:36,30
Monday,11:46,28
Monday,11:53,31
Monday,12:09,36
Monday,12:23,35
Monday,12:32,31
Monday,12:41,31
Monday,12:51,36
Monday,13:20,34
Monday,13:57,32
Monday,14:25,39
Monday,14:41,33
