Day,Time,Occupancy
Sunday,08:44,66
Sunday,08:50,66
Sunday,10:09,73
Sunday,10:25,67
Sunday,10:33,67
Sunday,10:41,61
Sunday,10:51,48
Sunday,11:09,47
Sunday,11:29,52
Sunday,11:39,50
Sunday,11:46,54
Sunday,11:53,54
Sunday,12:08,51
Sunday,12:22,56
Sunday,12:32,62
Sunday,12:41,56
Sunday,12:51,57
Sunday,13:16,55
Sunday,13:50,59
Sunday,14:15,65
Sunday,14:30,61
Sunday,14:41,64
Sunday,14:52,57
Sunday,15:08,45
Sunday,15:25,42
Sunday,15:34,42
Sunday,15:41,46
Sunday,15:51,49
Sunday,16:08,50
Sunday,16:26,50
Sunday,16:34,55
Sunday,16:41,59
Sunday,16:51,39
Sunday,17:10,64
Sunday,17:34,60
Sunday,17:45,68
Sunday,17:51,67
Sunday,18:08,82
Sunday,18:24,75
Sunday,18:34,63
Sunday,18:41,63
Sunday,18:51,52
Sunday,19:12,57
Sunday,19:35,53
Sunday,19:46,52
Sunday,19:52,51
Sunday,20:08,51
Sunday,20:21,41
Sunday,20:32,33
Sunday,20:41,26
Sunday,20:51,20
Sunday,21:10,0
Sunday,21:27,0
Sunday,21:37,0
Sunday,21:44,0
Sunday,21:51,0
Sunday,22:08,0
Sunday,22:23,0
Sunday,22:32,0
Sunday,22:41,0
Sunday,22:51,0
Sunday,23:09,0
Sunday,23:29,0
Sunday,23:40,0
Sunday,23:51,0
Monday,05:13,0
Monday,05:35,0
Monday,05:46,0
Monday,05:53,0
Monday,06:10,3
Monday,06:32,15
Monday,06:43,15
Monday,06:51,15
Monday,07:15,22
Monday,07:41,28
Monday,07:53,27
Monday,08:10,22
Monday,08:29,22
Monday,08:38,19
Monday,08:45,19
Monday,08:51,19
Monday,09:14,22
Monday,09:38,17
Monday,09:50,17
Monday,10:11,16
Monday,10:32,14
Monday,10:43,16
Monday,10:51,16
Monday,11:11,25
Monday,11:36,30
Monday,11:46,28
Monday,11:53,31
Monday,12:09,36
Monday,12:23,35
Monday,12:32,31
Monday,12:41,31
Monday,12:51,36
Monday,13:20,34
Monday,13:57,32
Monday,14:25,39
Monday,14:41,33
Monday,14:51,32
Monday,15:10,34
Monday,15:34,34
Monday,15:46,31
Monday,15:53,34
Monday,16:11,32
Monday,16:32,27
Monday,16:45,31
Monday,16:52,24
Monday,17:13,31
Monday,17:40,35
Monday,17:52,42
Monday,18:09,50
Monday,18:29,68
Monday,18:39,73
Monday,18:46,47
Monday,18:53,47
Monday,19:14,77
Monday,19:40,53
Monday,19:53,51
Monday,20:07,49
Monday,20:21,46
Monday,20:32,49
Monday,20:41,49
Monday,20:51,49
Monday,21:10,46
Monday,21:30,28
Monday,21:40,17
Monday,21:46,13
Monday,21:53,6
Monday,22:09,0
Monday,22:25,0
Monday,22:33,0
Monday,22:41,0
Monday,22:51,0
Monday,23:09,0
Monday,23:30,0
Monday,23:43,0
Monday,23:51,0
Tuesday,05:12,0
Tuesday,05:36,0
Tuesday,05:49,0
Tuesday,05:55,0
Tuesday,06:12,13
Tuesday,06:32,23
Tuesday,06:43,31
Tuesday,06:51,35
Tuesday,07:14,31
Tuesday,07:41,29
Tuesday,07:53,25
Tuesday,08:10,33
Tuesday,08:30,33
Tuesday,08:39,33
Tuesday,08:45,35
Tuesday,08:52,30
Tuesday,09:14,26
Tuesday,09:36,15
Tuesday,09:49,14
Tuesday,09:55,12
Tuesday,10:12,19
Tuesday,10:31,24
Tuesday,10:43,27
Tuesday,10:51,27
Tuesday,11:11,32
Tuesday,11:37,21
Tuesday,11:47,20
Tuesday,11:54,20
Tuesday,12:08,23
Tuesday,12:24,29
Tuesday,12:32,35
Tuesday,12:41,39
Tuesday,12:51,45
Tuesday,13:19,40
Tuesday,13:56,30
Tuesday,14:23,45
Tuesday,14:40,42
Tuesday,14:52,40
Tuesday,15:10,28
Tuesday,15:35,20
Tuesday,15:47,15
Tuesday,15:54,20
Tuesday,16:10,27
Tuesday,16:33,23
Tuesday,16:45,30
Tuesday,16:52,33
Tuesday,17:10,38
Tuesday,17:37,52
Tuesday,17:50,23
Tuesday,18:09,63
Tuesday,18:29,78
Tuesday,18:40,91
Tuesday,18:51,83
Tuesday,19:13,83
Tuesday,19:40,66
Tuesday,19:53,67
Tuesday,20:07,61
Tuesday,20:21,63
Tuesday,20:32,61
Tuesday,20:41,63
Tuesday,20:52,55
Tuesday,21:11,54
Tuesday,21:31,32
Tuesday,21:44,24
Tuesday,21:51,17
Tuesday,22:09,0
Tuesday,22:25,0
Tuesday,22:33,0
Tuesday,22:41,0
Tuesday,22:51,0
Tuesday,23:09,0
Tuesday,23:30,0
Tuesday,23:43,0
Tuesday,23:51,0
Wednesday,05:12,0
Wednesday,05:34,0
Wednesday,05:45,0
Wednesday,05:52,0
Wednesday,06:10,11
Wednesday,06:32,18
Wednesday,06:44,24
Wednesday,06:51,24
Wednesday,07:14,34
Wednesday,07:40,32
Wednesday,07:53,29
Wednesday,08:10,35
Wednesday,08:28,30
Wednesday,08:37,35
Wednesday,08:43,35
Wednesday,08:51,36
Wednesday,09:13,29
Wednesday,09:38,18
Wednesday,09:50,21
Wednesday,10:11,25
